Platform,Subject,Category/Unit,Module/Topic,Rating,MCQs
Marrow,Anatomy,EMBRYOLOGY,Gametogenesis,4.5,19
Marrow,Anatomy,EMBRYOLOGY,Pre-Embryonic Phase of Development,4.5,13
Marrow,Anatomy,EMBRYOLOGY,Embryonic Phase of Development,4.5,16
Marrow,Anatomy,EMBRYOLOGY,"Placenta, Fetal Membranes and Twinning",4.5,14
Marrow,Anatomy,EMBRYOLOGY,"Pharyngeal arches, Skeletal & Muscular Systems",4.5,24
Marrow,Anatomy,EMBRYOLOGY,Cardiovascular and Respiratory Systems,4.5,25
Marrow,Anatomy,EMBRYOLOGY,"Alimentary, Hepatobiliary systems, Pancreas and Spleen",4.5,21
Marrow,Anatomy,EMBRYOLOGY,"Face, Nose & Palate, Eye, Ear",4.5,14
Marrow,Anatomy,EMBRYOLOGY,Nervous System and Endocrine Glands,4.5,18
Marrow,Anatomy,EMBRYOLOGY,Urogenital System,4.5,19
Marrow,Anatomy,HISTOLOGY,"Cell Structure, Epithelia, Glands & Connective Tissue",4.4,26
Marrow,Anatomy,HISTOLOGY,"Bone, Cartilage & Muscular Tissue",4.4,15
Marrow,Anatomy,HISTOLOGY,Nervous and Endocrine Systems,4.5,13
Marrow,Anatomy,HISTOLOGY,"Cardiovascular, Lymphatic and Respiratory Systems",4.4,11
Marrow,Anatomy,HISTOLOGY,"Digestive, Hepatobiliary & Genitourinary Systems",4.5,22
Marrow,Anatomy,HISTOLOGY,"Skin & Special Senses, Eye and Ear",4.5,17
Marrow,Anatomy,NEUROANATOMY,Cranial Nerves,4.4,21
Marrow,Anatomy,NEUROANATOMY,Meninges and dural venous sinuses,4.4,11
Marrow,Anatomy,NEUROANATOMY,Ventricular System and Subarachnoid Space,4.5,17
Marrow,Anatomy,NEUROANATOMY,Cerebrum,4.4,7
Marrow,Anatomy,NEUROANATOMY,White Matter of the Brain,4.5,16
Marrow,Anatomy,NEUROANATOMY,Basal Ganglia and Limbic System,4.4,6
Marrow,Anatomy,NEUROANATOMY,Diencephalon,4.4,12
Marrow,Anatomy,NEUROANATOMY,Brainstem,4.4,14
Marrow,Anatomy,NEUROANATOMY,Cerebellum,4.5,14
Marrow,Anatomy,NEUROANATOMY,Vascular supply of Brain,4.5,20
Marrow,Anatomy,NEUROANATOMY,Spinal Cord,4.4,15
Marrow,Anatomy,HEAD AND NECK,"Osteology, Scalp and Face",4.5,27
Marrow,Anatomy,HEAD AND NECK,Deep fascia and Triangles of the neck,4.4,15
Marrow,Anatomy,HEAD AND NECK,"Muscles, Neurovascular Anatomy of Head & Neck",4.5,24
Marrow,Anatomy,HEAD AND NECK,Glands of the Head and Neck,4.5,24
Marrow,Anatomy,HEAD AND NECK,Tongue and Palate,4.6,12
Marrow,Anatomy,HEAD AND NECK,Pharynx,4.6,9
Marrow,Anatomy,HEAD AND NECK,Larynx,4.5,17
Marrow,Anatomy,UPPER LIMB,Upper Limb Bones and Joints,4.5,22
Marrow,Anatomy,UPPER LIMB,Fossae and Spaces of the Upper Limb,4.5,15
Marrow,Anatomy,UPPER LIMB,Breast,4.5,7
Marrow,Anatomy,UPPER LIMB,Brachial Plexus and Nerves,4.4,31
Marrow,Anatomy,UPPER LIMB,Muscles - Upper Limb,4.4,23
Marrow,Anatomy,UPPER LIMB,Vessels-Upper limb,4.4,16
Marrow,Anatomy,THORAX,General Anatomy of Thorax,4.5,15
Marrow,Anatomy,THORAX,Thoracic Wall,4.5,21
Marrow,Anatomy,THORAX,Mediastinum,4.5,13
Marrow,Anatomy,THORAX,Diaphragm,4.5,9
Marrow,Anatomy,THORAX,Heart,4.5,33
Marrow,Anatomy,THORAX,Lungs and Pleura,4.4,23
Marrow,Anatomy,ABDOMEN AND PELVIS,Anterior Abdominal Wall,4.4,12
Marrow,Anatomy,ABDOMEN AND PELVIS,Abdominal cavity and Peritoneum,4.5,11
Marrow,Anatomy,ABDOMEN AND PELVIS,GI Tract,4.4,17
Marrow,Anatomy,ABDOMEN AND PELVIS,"Hepatobiliary system, Spleen & Pancreas",4.4,23
Marrow,Anatomy,ABDOMEN AND PELVIS,KUB & Adrenal Gland,4.4,25
Marrow,Anatomy,ABDOMEN AND PELVIS,Internal and external genitalia,4.4,22
Marrow,Anatomy,ABDOMEN AND PELVIS,Pelvis & Perineum,4.4,20
Marrow,Anatomy,LOWER LIMB,Bones of the Lower Limb,4.5,15
Marrow,Anatomy,LOWER LIMB,Joints of the Lower Limb,4.4,18
Marrow,Anatomy,LOWER LIMB,Muscles of the Lower Limb,4.5,23
Marrow,Anatomy,LOWER LIMB,Nerves & Vessels of Lower Limb,4.5,21
Marrow,Anatomy,LOWER LIMB,Important Structures of Lower Limb,4.5,19
Marrow,Anatomy,BACK,Vertebral Column,4.4,14
Marrow,Anatomy,GENERAL ANATOMY,"Bones, Joints and Cartilage",4.5,30
Marrow,Anatomy,GENERAL ANATOMY,Muscles and Tendons,4.4,16
Marrow,Anatomy,GENERAL ANATOMY,"Cardiovascular, Lymphatic and Nervous Systems",4.5,20
Marrow,Anatomy,GENERAL ANATOMY,"Skin, Connective Tissue and Ligaments",4.4,13
Marrow,Physiology,GENERAL PHYSIOLOGY,Homeostasis and cellular physiology,4.4,21
Marrow,Physiology,GENERAL PHYSIOLOGY,Cellular messengers & Receptors,4.4,21
Marrow,Physiology,GENERAL PHYSIOLOGY,Transport Across Cell Membrane,4.5,24
Marrow,Physiology,GENERAL PHYSIOLOGY,Membrane Potentials,4.4,14
Marrow,Physiology,GENERAL PHYSIOLOGY,Body Fluids,4.5,28
Marrow,Physiology,NERVE MUSCLE PHYSIOLOGY,Physiology of Nerve,4.5,34
Marrow,Physiology,NERVE MUSCLE PHYSIOLOGY,Muscle Physiology I,4.5,35
Marrow,Physiology,NERVE MUSCLE PHYSIOLOGY,Muscle Physiology II,4.5,14
Marrow,Physiology,NERVE MUSCLE PHYSIOLOGY,Synapse and Junctional Transmission,4.4,27
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Neurotransmitters,4.4,17
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Sensory Receptors,4.5,21
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Somatosensory Pathways,4.5,22
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Special Senses,4.5,21
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Motor Physiology - 1,4.4,38
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Motor Physiology - 2,4.4,20
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Basal Ganglia and Cerebellum,4.5,20
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Hypothalamus and Limbic System,4.4,13
Marrow,Physiology,CENTRAL NERVOUS SYSTEM,Higher Mental Functions,4.5,29
Marrow,Physiology,THE RESPIRATORY SYSTEM,Functional Anatomy,4.6,13
Marrow,Physiology,THE RESPIRATORY SYSTEM,Lung Mechanics,4.5,18
Marrow,Physiology,THE RESPIRATORY SYSTEM,Alveolar Gas Exchange,4.5,15
Marrow,Physiology,THE RESPIRATORY SYSTEM,Gas Transport in Blood,4.5,20
Marrow,Physiology,THE RESPIRATORY SYSTEM,Lung Volumes and Lung Function Tests,4.5,18
Marrow,Physiology,THE RESPIRATORY SYSTEM,"Respiratory Adaptations in Hypoxia, Anemia and with Pressure Changes",4.6,14
Marrow,Physiology,THE RESPIRATORY SYSTEM,Regulation of Respiration,4.5,30
Marrow,Physiology,THE CARDIOVASCULAR SYSTEM,Vascular System and Regional Circulation I,4.5,18
Marrow,Physiology,THE CARDIOVASCULAR SYSTEM,Vascular System and Regional Circulation II,4.5,21
Marrow,Physiology,THE CARDIOVASCULAR SYSTEM,Cardiac Cycle and Cardiac Output,4.5,27
Marrow,Physiology,THE CARDIOVASCULAR SYSTEM,Electrophysiology of the Heart,4.5,22
Marrow,Physiology,THE CARDIOVASCULAR SYSTEM,Blood Pressure and Regulation,4.5,29
Marrow,Physiology,THE GASTROINTESTINAL TRACT,Gastrointestinal Secretion and Gastrointestinal Hormones,4.5,30
Marrow,Physiology,THE GASTROINTESTINAL TRACT,Digestion & Absorption,4.5,32
Marrow,Physiology,THE GASTROINTESTINAL TRACT,GI Peristalsis and Motility,4.5,25
Marrow,Physiology,RENAL PHYSIOLOGY,"Glomerular Filtration Rate, Renal Blood Flow, and Renal Clearance",4.5,35
Marrow,Physiology,RENAL PHYSIOLOGY,"Renal Tubular Functions, Urine Concentration and Dilution",4.4,32
Marrow,Physiology,RENAL PHYSIOLOGY,"Acid-Base Balance, Renal Hormones and Micturition Reflex",4.5,25
Marrow,Physiology,ENDOCRINE PHYSIOLOGY,Pituitary and Thyroid,4.5,24
Marrow,Physiology,ENDOCRINE PHYSIOLOGY,The Pancreas,4.5,25
Marrow,Physiology,ENDOCRINE PHYSIOLOGY,The Adrenals,4.5,21
Marrow,Physiology,ENDOCRINE PHYSIOLOGY,Calcium Homeostasis,4.5,25
Marrow,Physiology,REPRODUCTIVE PHYSIOLOGY,Male Reproductive Physiology,4.5,28
Marrow,Physiology,REPRODUCTIVE PHYSIOLOGY,Female Reproductive Physiology,4.5,30
Marrow,Physiology,EXERCISE PHYSIOLOGY,Exercise Physiology,4.5,16
Marrow,Biochemistry,CARBOHYDRATES,"Chemistry of Carbohydrates, Amino sugars and Mucopolysaccharides",4.5,22
Marrow,Biochemistry,CARBOHYDRATES,Glycolysis and gluconeogenesis,4.5,30
Marrow,Biochemistry,CARBOHYDRATES,Glycogen metabolism and glycogen storage disorders,4.5,20
Marrow,Biochemistry,CARBOHYDRATES,"HMP shunt pathway, Fructose , Galactose metabolism",4.5,11
Marrow,Biochemistry,CARBOHYDRATES,ETC and bioenergetics,4.5,18
Marrow,Biochemistry,CARBOHYDRATES,Krebs Cycle,4.5,20
Marrow,Biochemistry,AMINO ACIDS AND PROTEINS,Amino acids: Basics,4.5,27
Marrow,Biochemistry,AMINO ACIDS AND PROTEINS,Amino acid: Metabolism,4.5,23
Marrow,Biochemistry,AMINO ACIDS AND PROTEINS,Amino acid: Metabolic disorder,4.5,28
Marrow,Biochemistry,AMINO ACIDS AND PROTEINS,Protein structure and function,4.4,33
Marrow,Biochemistry,AMINO ACIDS AND PROTEINS,Urea cycle and its disorders,4.5,14
Marrow,Biochemistry,LIPIDS,Lipids: Basics,4.5,14
Marrow,Biochemistry,LIPIDS,Fatty acid oxidation and ketogenesis,4.5,20
Marrow,Biochemistry,LIPIDS,Biosynthesis of fatty acids and Eicosanoids,4.4,23
Marrow,Biochemistry,LIPIDS,Metabolism of Acylglycerols and Sphingolipids,4.5,24
Marrow,Biochemistry,LIPIDS,"Cholesterol Synthesis, Transport and Excretion",4.5,21
Marrow,Biochemistry,ENZYMES AND PORPHYRINS,Porphyrins and bile pigments,4.4,24
Marrow,Biochemistry,ENZYMES AND PORPHYRINS,Enzymes - Mechanism of Action & Clinical Importance,4.4,19
Marrow,Biochemistry,ENZYMES AND PORPHYRINS,Enzyme Kinetics and Regulation of Activity,4.4,20
Marrow,Biochemistry,CLINICAL BIOCHEMISTRY & NUTRITION,Fat soluble vitamins,4.5,17
Marrow,Biochemistry,CLINICAL BIOCHEMISTRY & NUTRITION,Energy releasing vitamins,4.5,20
Marrow,Biochemistry,CLINICAL BIOCHEMISTRY & NUTRITION,Hematopoietic and other vitamins,4.5,13
Marrow,Biochemistry,CLINICAL BIOCHEMISTRY & NUTRITION,Antioxidants & Minerals,4.4,14
Marrow,Biochemistry,GENETICS,Basics of genetics - Nucleotide metabolism and its disorders,4.5,17
Marrow,Biochemistry,GENETICS,"DNA organization, replication and repair",4.5,28
Marrow,Biochemistry,GENETICS,"RNA synthesis, processing and modification",4.4,22
Marrow,Biochemistry,GENETICS,Regulation of gene expression,4.4,12
Marrow,Biochemistry,GENETICS,"Molecular genetics, recombinant DNA & genomic technology",4.4,27
Marrow,Pharmacology,GENERAL PHARMACOLOGY,Pharmacokinetics,4.5,25
Marrow,Pharmacology,GENERAL PHARMACOLOGY,Pharmacodynamics,4.5,28
Marrow,Pharmacology,GENERAL PHARMACOLOGY,Clinical Trials and Miscellaneous,4.5,22
Marrow,Pharmacology,GENERAL PHARMACOLOGY,Pharmacokinetics - Calculations,4.4,12
Marrow,Pharmacology,AUTONOMIC NERVOUS SYSTEM,ANS Introduction & Parasympathomimetics,4.5,17
Marrow,Pharmacology,AUTONOMIC NERVOUS SYSTEM,Sympathomimetics,4.5,26
Marrow,Pharmacology,AUTONOMIC NERVOUS SYSTEM,Parasympatholytics,4.5,24
Marrow,Pharmacology,AUTONOMIC NERVOUS SYSTEM,Sympatholytics,4.5,23
Marrow,Pharmacology,AUTONOMIC NERVOUS SYSTEM,Drugs for Glaucoma,4.5,22
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Anti-Anginal Drugs,4.5,20
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Heart Failure Drugs,4.5,21
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Antihypertensive Drugs,4.5,26
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Diuretics,4.5,23
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Anti-Arrythmic Drugs,4.4,23
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Hypolipidemic Drugs,4.5,11
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Renin-Angiotensin-Aldosterone System,4.5,11
Marrow,Pharmacology,CARDIOVASCULAR SYSTEM,Anti-diuretics,4.4,9
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Sedatives and Hypnotics,4.5,14
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Anti-epileptics I,4.5,27
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Anti-epileptics II,4.5,25
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Anti-psychotics,4.4,21
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Anti-manic Drugs,4.4,14
